index,Account_No,DATE,TRANSACTION_DETAILS,WITHDRAWAL_AMT,DEPOSIT_AMT,BALANCE_AMT,year,month,day,type,AMOUNT,receiver_Account
55,409000611074',2018-02-08,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,2057945.0,2018,2,8,TRANSFER,500000.0,M1152606315
56,409000611074',2018-02-09,INDO GIBL Indiaforensic STL07021,271124.0,0.0,1786821.0,2018,2,9,CHECK_WITHDRAWAL,271124.0,M1714688478
57,409000611074',2018-02-09,INDO GIBL Indiaforensic STL08021,300799.0,0.0,1486022.0,2018,2,9,PAYEMENT,300799.0,M1506951181
58,409000611074',2018-02-16,INDO GIBL Indiaforensic STL09021,334900.0,0.0,1151122.0,2018,2,16,DEBIT,334900.0,C1937962514
59,409000611074',2018-02-16,INDO GIBL Indiaforensic STL10021,68250.0,0.0,1082872.0,2018,2,16,CHECK_WITHDRAWAL,68250.0,C242131142
60,409000611074',2018-02-16,INDO GIBL Indiaforensic STL13021,307125.0,0.0,775747.0,2018,2,16,PAYEMENT,307125.0,C476800120
61,409000611074',2018-02-16,INDO GIBL Indiaforensic STL14021,475300.0,0.0,300447.0,2018,2,16,PAYEMENT,475300.0,C1254526270
62,409000611074',2018-02-16,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,800447.0,2018,2,16,TRANSFER,500000.0,C1129670968
63,409000611074',2018-02-16,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1300447.0,2018,2,16,CHECK_CASHING,500000.0,M1860591867
64,409000611074',2018-02-16,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1800447.0,2018,2,16,TRANSFER,500000.0,C1971489295
65,409000611074',2018-02-17,INDO GIBL Indiaforensic STL12021,594328.0,0.0,1206119.0,2018,2,17,CASH_OUT,594328.0,M516875052
66,409000611074',2018-02-17,INDO GIBL Indiaforensic STL15021,387100.0,0.0,819019.0,2018,2,17,DEBIT,387100.0,M589987187
67,409000611074',2018-02-19,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1319019.0,2018,2,19,CASH_IN,500000.0,M587180314
68,409000611074',2018-02-21,INDO GIBL Indiaforensic STL16021,710800.0,0.0,608219.0,2018,2,21,CASH_OUT,710800.0,C1330106945
69,409000611074',2018-02-21,INDO GIBL Indiaforensic STL17021,385400.0,0.0,222819.0,2018,2,21,DEBIT,385400.0,M1082411691
70,409000611074',2018-02-22,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,722819.0,2018,2,22,CHECK_CASHING,500000.0,C2096057945
71,409000611074',2018-02-22,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1222819.0,2018,2,22,TRANSFER,500000.0,C766572210
72,409000611074',2018-02-22,INDO GIBL Indiaforensic STL18021,79350.0,0.0,1143469.0,2018,2,22,CHECK_WITHDRAWAL,79350.0,C977993101
73,409000611074',2018-02-22,INDO GIBL Indiaforensic STL19021,385200.0,0.0,758269.0,2018,2,22,DEBIT,385200.0,M2134271532
74,409000611074',2018-02-22,INDO GIBL Indiaforensic STL20021,299950.0,0.0,458319.0,2018,2,22,CHECK_WITHDRAWAL,299950.0,M1831010686
75,409000611074',2018-02-22,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,958319.0,2018,2,22,CHECK_CASHING,500000.0,M404222443
76,409000611074',2018-02-23,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1458319.0,2018,2,23,CASH_IN,500000.0,M61073295
77,409000611074',2018-02-26,INDO GIBL Indiaforensic STL21021,273500.0,0.0,1184819.0,2018,2,26,CHECK_WITHDRAWAL,273500.0,M396485834
78,409000611074',2018-02-26,INDO GIBL Indiaforensic STL22021,237500.0,0.0,947319.0,2018,2,26,DEBIT,237500.0,C1330106945
79,409000611074',2018-02-26,INDO GIBL Indiaforensic STL23021,277753.0,0.0,669566.0,2018,2,26,CASH_OUT,277753.0,C1761291320
80,409000611074',2018-02-26,INDO GIBL Indiaforensic STL24021,70300.0,0.0,599266.0,2018,2,26,CASH_OUT,70300.0,C783286238
81,409000611074',2018-02-26,INDO GIBL Indiaforensic STL25021,62400.0,0.0,536866.0,2018,2,26,CASH_OUT,62400.0,C1749186397
82,409000611074',2018-02-26,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1036866.0,2018,2,26,CASH_IN,500000.0,C766572210
83,409000611074',2018-02-26,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1536866.0,2018,2,26,CASH_IN,500000.0,C392292416
84,409000611074',2018-02-27,INDO GIBL Indiaforensic STL26021,103300.0,0.0,1433566.0,2018,2,27,PAYEMENT,103300.0,C1590550415
85,409000611074',2018-02-28,INDO GIBL Indiaforensic STL27021,182450.0,0.0,1251116.0,2018,2,28,DEBIT,182450.0,C665576141
86,409000611074',2018-03-01,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1751116.0,2018,3,1,TRANSFER,500000.0,C766572210
87,409000611074',2018-03-01,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,2251116.0,2018,3,1,CHECK_CASHING,500000.0,C1359044626
88,409000611074',2018-03-05,INDO GIBL Indiaforensic STL03031,155500.0,0.0,2095616.0,2018,3,5,CASH_OUT,155500.0,C1590550415
89,409000611074',2018-03-07,INDO GIBL Indiaforensic STL28021,244350.0,0.0,1851266.0,2018,3,7,CASH_OUT,244350.0,C1590550415
90,409000611074',2018-03-07,INDO GIBL Indiaforensic STL01031,202799.0,0.0,1648467.0,2018,3,7,CASH_OUT,202799.0,C392292416
91,409000611074',2018-03-07,INDO GIBL Indiaforensic STL03031,155500.0,0.0,1492967.0,2018,3,7,CASH_OUT,155500.0,C1359044626
92,409000611074',2018-03-07,INDO GIBL Indiaforensic STL05031,153300.0,0.0,1339667.0,2018,3,7,PAYEMENT,153300.0,C1509514333
93,409000611074',2018-03-07,INDO GIBL Indiaforensic STL06031,350150.0,0.0,989517.0,2018,3,7,PAYEMENT,350150.0,C1286084959
94,409000611074',2018-03-08,INDO GIBL Indiaforensic STL07031,371900.0,0.0,617617.0,2018,3,8,CASH_OUT,371900.0,C1590550415
95,409000611074',2018-03-09,INDO GIBL Indiaforensic STL08031,345930.0,0.0,271687.0,2018,3,9,CHECK_WITHDRAWAL,345930.0,C1359044626
96,409000611074',2018-03-09,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,771687.0,2018,3,9,CASH_IN,500000.0,C1590550415
97,409000611074',2018-03-09,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1271687.0,2018,3,9,CASH_IN,500000.0,C1225616405
98,409000611074',2018-03-12,INDO GIBL Indiaforensic STL09031,390850.0,0.0,880837.0,2018,3,12,DEBIT,390850.0,M1651262695
99,409000611074',2018-03-12,INDO GIBL Indiaforensic STL1003,85800.0,0.0,795037.0,2018,3,12,CASH_OUT,85800.0,M494077446
100,409000611074',2018-03-12,INDO GIBL Indiaforensic STL11031,45000.0,0.0,750037.0,2018,3,12,PAYEMENT,45000.0,M989889899
101,409000611074',2018-03-12,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1250037.0,2018,3,12,TRANSFER,500000.0,M902860396
102,409000611074',2018-03-12,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1750037.0,2018,3,12,CHECK_CASHING,500000.0,M1816522350
103,409000611074',2018-03-13,INDO GIBL Indiaforensic STL12031,577493.0,0.0,1172544.0,2018,3,13,CASH_OUT,577493.0,M1521238608
104,409000611074',2018-03-14,INDO GIBL Indiaforensic STL13031,556224.0,0.0,616320.0,2018,3,14,CHECK_WITHDRAWAL,556224.0,M1111897955
105,409000611074',2018-03-14,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1116320.0,2018,3,14,CASH_IN,500000.0,M1643141512
106,409000611074',2018-03-14,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1616320.0,2018,3,14,CASH_IN,500000.0,C1282788025
107,409000611074',2018-03-15,INDO GIBL Indiaforensic STL14031,425700.0,0.0,1190620.0,2018,3,15,DEBIT,425700.0,C1870252780
108,409000611074',2018-03-16,INDO GIBL Indiaforensic STL15031,213463.0,0.0,977157.0,2018,3,16,PAYEMENT,213463.0,C97730845
109,409000611074',2018-03-16,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1477157.0,2018,3,16,CHECK_CASHING,500000.0,C100555887
110,409000611074',2018-03-17,INDO GIBL Indiaforensic STL16031,199983.0,0.0,1277174.0,2018,3,17,CHECK_WITHDRAWAL,199983.0,C1983747920
111,409000611074',2018-03-19,INDO GIBL Indiaforensic STL17031,230510.0,0.0,1046664.0,2018,3,19,DEBIT,230510.0,C736709391
112,409000611074',2018-03-19,INDO GIBL Indiaforensic STL18031,10000.0,0.0,1036664.0,2018,3,19,PAYEMENT,10000.0,C401424608
113,409000611074',2018-03-20,INDO GIBL Indiaforensic STL19031,335250.0,0.0,701414.0,2018,3,20,DEBIT,335250.0,C1590550415
114,409000611074',2018-03-20,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1201414.0,2018,3,20,TRANSFER,500000.0,C985934102
115,409000611074',2018-03-20,Indfor INCM INDO REVREMI0303,0.0,1320.0,1202734.0,2018,3,20,TRANSFER,1320.0,M25764044
116,409000611074',2018-03-20,INDO GIBLOXGN REVSTL03031,0.0,155500.0,1358234.0,2018,3,20,TRANSFER,155500.0,M1925352804
117,409000611074',2018-03-20,Indfor INCM INDO REVREMI0103,0.0,202799.0,1561033.0,2018,3,20,CHECK_CASHING,202799.0,C33524623
118,409000611074',2018-03-20,INDO GIBL Indiaforensic STL01031,200799.0,0.0,1360234.0,2018,3,20,CASH_OUT,200799.0,C575335780
119,409000611074',2018-03-22,INDO GIBL Indiaforensic STL20031,434450.0,0.0,925784.0,2018,3,22,CHECK_WITHDRAWAL,434450.0,M1600594643
120,409000611074',2018-03-22,INDO GIBL Indiaforensic STL21031,292175.0,0.0,633609.0,2018,3,22,CHECK_WITHDRAWAL,292175.0,M692998280
121,409000611074',2018-03-22,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1133609.0,2018,3,22,CHECK_CASHING,500000.0,C20671747
122,409000611074',2018-03-22,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1633609.0,2018,3,22,CHECK_CASHING,500000.0,M33563464
123,409000611074',2018-03-23,INDO GIBL Indiaforensic STL22031,301200.0,0.0,1332409.0,2018,3,23,CHECK_WITHDRAWAL,301200.0,C564160838
124,409000611074',2018-03-23,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1832409.0,2018,3,23,TRANSFER,500000.0,M30699728
125,409000611074',2018-03-26,INDO GIBL Indiaforensic STL23031,218975.0,0.0,1613434.0,2018,3,26,CASH_OUT,218975.0,M1422273905
126,409000611074',2018-03-26,INDO GIBL Indiaforensic STL24031,44800.0,0.0,1568634.0,2018,3,26,DEBIT,44800.0,C801197928
127,409000611074',2018-03-26,INDO GIBL Indiaforensic STL25031,12000.0,0.0,1556634.0,2018,3,26,CASH_OUT,12000.0,M756936249
128,409000611074',2018-03-27,INDO GIBL Indiaforensic STL26031,259150.0,0.0,1297484.0,2018,3,27,CASH_OUT,259150.0,M264394929
129,409000611074',2018-03-28,INDO GIBL Indiaforensic STL27031,139650.0,0.0,1157834.0,2018,3,28,CASH_OUT,139650.0,M769132147
130,409000611074',2018-03-31,INDO GIBL Indiaforensic STL28031,164600.0,0.0,993234.0,2018,3,31,PAYEMENT,164600.0,M1474957626
131,409000611074',2018-03-31,INDO GIBL Indiaforensic STL29031,81675.0,0.0,911559.0,2018,3,31,PAYEMENT,81675.0,M1733022752
132,409000611074',2018-03-31,INDO GIBL Indiaforensic STL30031,85750.0,0.0,825809.0,2018,3,31,DEBIT,85750.0,C451111351
133,409000611074',2018-03-31,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1325809.0,2018,3,31,TRANSFER,500000.0,C716157500
134,409000611074',2018-04-05,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1825809.0,2018,4,5,CASH_IN,500000.0,M1914108708
135,409000611074',2018-04-05,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,2325809.0,2018,4,5,TRANSFER,500000.0,M1357700757
136,409000611074',2018-04-06,INDO GIBL Indiaforensic STL31031,150950.0,0.0,2174859.0,2018,4,6,CASH_OUT,150950.0,M1889757798
137,409000611074',2018-04-06,INDO GIBL Indiaforensic STL01041,20000.0,0.0,2154859.0,2018,4,6,DEBIT,20000.0,M1932470703
138,409000611074',2018-04-06,INDO GIBL Indiaforensic STL02041,26400.0,0.0,2128459.0,2018,4,6,CHECK_WITHDRAWAL,26400.0,M1713568869
139,409000611074',2018-04-06,INDO GIBL Indiaforensic STL03041,109650.0,0.0,2018809.0,2018,4,6,CHECK_WITHDRAWAL,109650.0,C1688019098
140,409000611074',2018-04-06,INDO GIBL Indiaforensic STL04041,318100.0,0.0,1700709.0,2018,4,6,CHECK_WITHDRAWAL,318100.0,M1689924104
141,409000611074',2018-04-06,INDO GIBL Indiaforensic STL05041,309200.0,0.0,1391509.0,2018,4,6,CHECK_WITHDRAWAL,309200.0,M631673932
142,409000611074',2018-04-07,INDO GIBL Indiaforensic STL06041,303600.0,0.0,1087909.0,2018,4,7,PAYEMENT,303600.0,C1321640594
143,409000611074',2018-04-09,INDO GIBL Indiaforensic STL07041,48800.0,0.0,1039109.0,2018,4,9,CASH_OUT,48800.0,M790094605
144,409000611074',2018-04-09,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1539109.0,2018,4,9,CHECK_CASHING,500000.0,M487792155
145,409000611074',2018-04-10,INDO GIBL Indiaforensic STL09041,305950.0,0.0,1233159.0,2018,4,10,DEBIT,305950.0,M1632670136
146,409000611074',2018-04-11,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1733159.0,2018,4,11,CHECK_CASHING,500000.0,C1170794006
147,409000611074',2018-04-11,INDO GIBL Indiaforensic STL10041,162600.0,0.0,1570559.0,2018,4,11,CASH_OUT,162600.0,C1509514333
148,409000611074',2018-04-12,INDO GIBL Indiaforensic STL11041,639700.0,0.0,930859.0,2018,4,12,DEBIT,639700.0,M638486177
149,409000611074',2018-04-12,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1430859.0,2018,4,12,TRANSFER,500000.0,M314411620
150,409000611074',2018-04-13,INDO GIBL Indiaforensic STL12041,363900.0,0.0,1066959.0,2018,4,13,PAYEMENT,363900.0,C564160838
151,409000611074',2018-04-13,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1566959.0,2018,4,13,CHECK_CASHING,500000.0,C392292416
152,409000611074',2018-04-13,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,2066959.0,2018,4,13,TRANSFER,500000.0,C1297685781
153,409000611074',2018-04-16,INDO GIBL Indiaforensic STL13041,347950.0,0.0,1719009.0,2018,4,16,CASH_OUT,347950.0,C1297685781
154,409000611074',2018-04-16,INDO GIBL Indiaforensic STL14041,76900.0,0.0,1642109.0,2018,4,16,PAYEMENT,76900.0,C747464370
155,409000611074',2018-04-16,INDO GIBL Indiaforensic STL15041,48000.0,0.0,1594109.0,2018,4,16,CASH_OUT,48000.0,C1509514333
156,409000611074',2018-04-17,INDO GIBL Indiaforensic STL16041,555650.0,0.0,1038459.0,2018,4,17,CASH_OUT,555650.0,C1590550415
157,409000611074',2018-04-18,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1538459.0,2018,4,18,CHECK_CASHING,500000.0,C288665596
158,409000611074',2018-04-18,INDO GIBL Indiaforensic STL17041,574150.0,0.0,964309.0,2018,4,18,CHECK_WITHDRAWAL,574150.0,C1749186397
159,409000611074',2018-04-19,INDO GIBL Indiaforensic STL18041,388550.0,0.0,575759.0,2018,4,19,CHECK_WITHDRAWAL,388550.0,C453211571
160,409000611074',2018-04-19,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1075759.0,2018,4,19,CASH_IN,500000.0,C757108857
161,409000611074',2018-04-20,INDO GIBL Indiaforensic STL19041,276300.0,0.0,799459.0,2018,4,20,CHECK_WITHDRAWAL,276300.0,C1023714065
162,409000611074',2018-04-21,INDO GIBL Indiaforensic STL20041,167591.0,0.0,631868.0,2018,4,21,CHECK_WITHDRAWAL,167591.0,C401424608
163,409000611074',2018-04-21,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1131868.0,2018,4,21,CASH_IN,500000.0,C240650537
164,409000611074',2018-04-21,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1631868.0,2018,4,21,CASH_IN,500000.0,C1971489295
165,409000611074',2018-04-25,INDO GIBL Indiaforensic STL21041,242700.0,0.0,1389168.0,2018,4,25,CHECK_WITHDRAWAL,242700.0,C766572210
166,409000611074',2018-04-25,INDO GIBL Indiaforensic STL22041,92900.0,0.0,1296268.0,2018,4,25,PAYEMENT,92900.0,C401424608
167,409000611074',2018-04-25,INDO GIBL Indiaforensic STL23041,315750.0,0.0,980518.0,2018,4,25,CASH_OUT,315750.0,C476800120
168,409000611074',2018-04-25,INDO GIBL Indiaforensic STL24041,377300.0,0.0,603218.0,2018,4,25,CASH_OUT,377300.0,C1209271652
169,409000611074',2018-04-26,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1103218.0,2018,4,26,CHECK_CASHING,500000.0,C2083562754
170,409000611074',2018-04-26,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1603218.0,2018,4,26,TRANSFER,500000.0,C557041912
171,409000611074',2018-04-27,INDO GIBL Indiaforensic STL25041,414276.0,0.0,1188942.0,2018,4,27,DEBIT,414276.0,C1590550415
172,409000611074',2018-04-27,INDO GIBL Indiaforensic STL26041,351100.0,0.0,837842.0,2018,4,27,CHECK_WITHDRAWAL,351100.0,C1435804085
173,409000611074',2018-04-27,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1337842.0,2018,4,27,CASH_IN,500000.0,C736709391
174,409000611074',2018-05-01,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1837842.0,2018,5,1,TRANSFER,500000.0,C240650537
175,409000611074',2018-05-02,INDO GIBL Indiaforensic STL27041,229949.0,0.0,1607893.0,2018,5,2,CASH_OUT,229949.0,C1854778591
176,409000611074',2018-05-02,INDO GIBL Indiaforensic STL28041,160300.0,0.0,1447593.0,2018,5,2,DEBIT,160300.0,C885951223
177,409000611074',2018-05-02,INDO GIBL Indiaforensic STL29041,76000.0,0.0,1371593.0,2018,5,2,CASH_OUT,76000.0,C1590550415
178,409000611074',2018-05-02,INDO GIBL Indiaforensic STL30041,60449.0,0.0,1311144.0,2018,5,2,DEBIT,60449.0,C1060830840
179,409000611074',2018-05-02,INDO GIBL Indiaforensic STL01051,259075.0,0.0,1052069.0,2018,5,2,CHECK_WITHDRAWAL,259075.0,C920011586
180,409000611074',2018-05-02,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1552069.0,2018,5,2,CASH_IN,500000.0,C1360767589
181,409000611074',2018-05-03,INDO GIBL Indiaforensic STL02051,206700.0,0.0,1345369.0,2018,5,3,CASH_OUT,206700.0,C824009085
182,409000611074',2018-05-03,FDRL/INTERNAL FUND TRANSFE,0.0,500000.0,1845369.0,2018,5,3,TRANSFER,500000.0,C1531333864
183,409000611074',2018-05-04,INDO GIBL Indiaforensic STL03051,237000.0,0.0,1608369.0,2018,5,4,DEBIT,237000.0,C434091818
184,409000611074',2018-05-05,INDO GIBL Indiaforensic STL04051,272000.0,0.0,1336369.0,2018,5,5,PAYEMENT,272000.0,C1023714065
